codmun,municipio,codRegiaoSaude,nomeRegiaoSaude,populacao
211223,Trizidela do Vale,21010,PEDREIRAS,21998
211227,Tufilândia,21014,SANTA INES,5840
211230,Tuntum,21012,PRESIDENTE DUTRA,41832
211240,Turiaçu,21011,PINHEIRO,35604
211245,Turilândia,21011,PINHEIRO,25619
211250,Tutóia,21006,CHAPADINHA,58860
211260,Urbano Santos,21009,ITAPECURU MIRIM,33122
211270,Vargem Grande,21009,ITAPECURU MIRIM,56510
211280,Viana,21018,VIANA,52441
211285,Vila Nova dos Martírios,21001,ACAILANDIA,13392
211290,Vitória do Mearim,21009,ITAPECURU MIRIM,32764
211300,Vitorino Freire,21002,BACABAL,31523
211400,Zé Doca,21019,ZE DOCA,51714
