City Name,State Name,ranking_city,City Name,Dia_mes_ano,Dt,Média de Isolated_city
Araioses,Maranhão,156,Araioses,06/05/2020,06/05/2020,47.50
Araguanã,Maranhão,167,Araguanã,06/05/2020,06/05/2020,48.30
Apicum-Açu,Maranhão,92,Apicum-Açu,06/05/2020,06/05/2020,42.50
Anapurus,Maranhão,157,Anapurus,06/05/2020,06/05/2020,47.70
Anajatuba,Maranhão,168,Anajatuba,06/05/2020,06/05/2020,48.50
Amarante do Maranhão,Maranhão,65,Amarante do Maranhão,06/05/2020,06/05/2020,41.30
Amapá do Maranhão,Maranhão,134,Amapá do Maranhão,06/05/2020,06/05/2020,45.10
Alto Parnaíba,Maranhão,26,Alto Parnaíba,06/05/2020,06/05/2020,36.40
Alto Alegre do Pindaré,Maranhão,190,Alto Alegre do Pindaré,06/05/2020,06/05/2020,51.50
Alto Alegre do Maranhão,Maranhão,10,Alto Alegre do Maranhão,06/05/2020,06/05/2020,32.80
Altamira do Maranhão,Maranhão,158,Altamira do Maranhão,06/05/2020,06/05/2020,47.80
Aldeias Altas,Maranhão,82,Aldeias Altas,06/05/2020,06/05/2020,42.10
Alcântara,Maranhão,137,Alcântara,06/05/2020,06/05/2020,45.30
Água Doce do Maranhão,Maranhão,161,Água Doce do Maranhão,06/05/2020,06/05/2020,47.90
Afonso Cunha,Maranhão,37,Afonso Cunha,06/05/2020,06/05/2020,37.90
Açailândia,Maranhão,70,Açailândia,06/05/2020,06/05/2020,41.60
