City Name;State Name;ranking_city;City Name;Dia_mes_ano;Dt;Média de Isolated_city
Bom Lugar;Maranhão;151;Bom Lugar;06/05/2020;06/05/2020;0,4680
Bom Jesus das Selvas;Maranhão;30;Bom Jesus das Selvas;06/05/2020;06/05/2020;0,3740
Bom Jardim;Maranhão;56;Bom Jardim;06/05/2020;06/05/2020;0,4030
Boa Vista do Gurupi;Maranhão;86;Boa Vista do Gurupi;06/05/2020;06/05/2020;0,4220
Bernardo do Mearim;Maranhão;1;Bernardo do Mearim;06/05/2020;06/05/2020;0,2260
Bequimão;Maranhão;177;Bequimão;06/05/2020;06/05/2020;0,4960
Benedito Leite;Maranhão;193;Benedito Leite;06/05/2020;06/05/2020;0,5180
Belágua;Maranhão;181;Belágua;06/05/2020;06/05/2020;0,5000
Bela Vista do Maranhão;Maranhão;126;Bela Vista do Maranhão;06/05/2020;06/05/2020;0,4480
Barreirinhas;Maranhão;101;Barreirinhas;06/05/2020;06/05/2020;0,4300
Barra do Corda;Maranhão;132;Barra do Corda;06/05/2020;06/05/2020;0,4500
Barão de Grajaú;Maranhão;49;Barão de Grajaú;06/05/2020;06/05/2020;0,3980
Balsas;Maranhão;27;Balsas;06/05/2020;06/05/2020;0,3690
Bacuri;Maranhão;93;Bacuri;06/05/2020;06/05/2020;0,4250
Bacabeira;Maranhão;51;Bacabeira;06/05/2020;06/05/2020;0,3980
Bacabal;Maranhão;45;Bacabal;06/05/2020;06/05/2020;0,3920
Axixá;Maranhão;40;Axixá;06/05/2020;06/05/2020;0,3880
Arari;Maranhão;147;Arari;06/05/2020;06/05/2020;0,4640
Arame;Maranhão;43;Arame;06/05/2020;06/05/2020;0,3890
Araioses;Maranhão;156;Araioses;06/05/2020;06/05/2020;0,4750
Araguanã;Maranhão;167;Araguanã;06/05/2020;06/05/2020;0,4830
Apicum-Açu;Maranhão;92;Apicum-Açu;06/05/2020;06/05/2020;0,4250
Anapurus;Maranhão;157;Anapurus;06/05/2020;06/05/2020;0,4770
Anajatuba;Maranhão;168;Anajatuba;06/05/2020;06/05/2020;0,4850
Amarante do Maranhão;Maranhão;65;Amarante do Maranhão;06/05/2020;06/05/2020;0,4130
Amapá do Maranhão;Maranhão;134;Amapá do Maranhão;06/05/2020;06/05/2020;0,4510
Alto Parnaíba;Maranhão;26;Alto Parnaíba;06/05/2020;06/05/2020;0,3640
Alto Alegre do Pindaré;Maranhão;190;Alto Alegre do Pindaré;06/05/2020;06/05/2020;0,5150
Alto Alegre do Maranhão;Maranhão;10;Alto Alegre do Maranhão;06/05/2020;06/05/2020;0,3280
Altamira do Maranhão;Maranhão;158;Altamira do Maranhão;06/05/2020;06/05/2020;0,4780
Aldeias Altas;Maranhão;82;Aldeias Altas;06/05/2020;06/05/2020;0,4210
Alcântara;Maranhão;137;Alcântara;06/05/2020;06/05/2020;0,4530
Água Doce do Maranhão;Maranhão;161;Água Doce do Maranhão;06/05/2020;06/05/2020;0,4790
Afonso Cunha;Maranhão;37;Afonso Cunha;06/05/2020;06/05/2020;0,3790
Açailândia;Maranhão;70;Açailândia;06/05/2020;06/05/2020;0,4160
